experiment_code,ingredient_water,ingredient_oil_phase,ingredient_legacy_peg_emulsifier,ingredient_substitute_polyglyceryl,ingredient_substitute_glucoside,ingredient_glycerin,ingredient_thickener,emulsification_temp_c,homogenization_min,supplier_family,viscosity_cp,ph,stability_score,spreadability,status
LOT-0021,72.1254,16.5766,0.0,5.0218,1.5427,3.468,1.2655,66.16,3.11,A,13086.0,5.1,10.0,6.29,completed
LOT-0022,71.7159,18.1221,0.0,2.8787,1.6033,5.1079,0.5721,68.29,10.84,B,10278.0,5.08,10.0,8.57,completed
LOT-0023,69.8539,18.2535,2.975,0.5729,0.0,7.7475,0.5972,69.07,4.46,B,7808.0,5.55,9.13,9.41,completed
LOT-0024,66.563,20.5174,0.0,4.3771,1.536,6.0594,0.9472,67.59,7.1,A,13443.0,5.19,9.61,7.0,completed
LOT-0025,72.1582,15.2672,2.505,0.6133,0.0,8.158,1.2982,65.95,8.96,B,12513.0,5.49,10.0,7.5,completed
LOT-0026,69.3096,19.7903,2.7799,0.4181,0.0,6.3945,1.3076,71.99,7.57,A,15063.0,5.26,7.16,6.2,completed
LOT-0027,76.5239,13.6321,1.9056,0.5886,0.0,6.8535,0.4962,68.22,4.49,A,6033.0,5.45,8.26,10.0,completed
LOT-0028,73.5055,18.1471,0.0,2.1097,1.7482,3.9833,0.5061,76.08,4.25,B,7126.0,5.23,8.2,7.56,completed
LOT-0029,71.456,18.9906,2.0497,0.2591,0.0,6.0328,1.2118,78.84,5.56,A,12521.0,5.3,6.0,7.53,completed
LOT-0030,76.135,14.6241,3.9873,0.5546,0.0,3.5722,1.1269,69.09,3.47,A,11371.0,5.51,10.0,7.52,completed
LOT-0031,71.8723,16.2344,2.8386,0.4873,0.0,7.4115,1.156,73.58,4.95,B,11320.0,5.45,8.6,8.43,completed
LOT-0032,67.9902,19.383,2.7681,0.2344,0.0,8.1629,1.4614,72.6,4.17,B,14873.0,5.69,6.95,6.97,completed
LOT-0033,72.3886,14.1118,3.3371,0.1407,0.0,8.4689,1.5529,66.13,7.18,A,13307.0,5.62,10.0,8.05,completed
LOT-0034,72.6385,19.2332,2.5882,0.4788,0.0,3.675,1.3863,66.87,6.21,B,12990.0,5.12,8.24,6.77,completed
LOT-0035,71.1329,18.5604,0.0,3.7404,0.6493,4.7486,1.1684,78.27,8.28,A,13171.0,5.14,8.72,6.99,completed
LOT-0036,71.0533,17.7658,1.7643,2.806,0.7367,5.0636,0.8103,72.11,5.53,C,10691.0,5.32,10.0,7.2,completed
LOT-0037,72.2267,19.3593,0.6454,2.3997,0.4014,3.8743,1.093,77.07,3.31,A,11910.0,5.2,8.14,7.22,completed
LOT-0038,71.849,15.9938,1.6965,1.6693,1.1068,7.1022,0.5824,66.0,5.98,A,8169.0,5.38,9.67,9.1,completed
LOT-0039,74.1578,14.0031,0.9143,1.743,0.811,7.2006,1.1701,73.92,9.8,A,11539.0,5.34,10.0,8.2,completed
LOT-0040,72.2667,16.8689,1.6371,1.1407,1.6332,5.1706,1.2828,77.98,5.3,C,12011.0,5.06,10.0,7.74,completed
LOT-0041,72.7502,14.9885,1.0417,1.4113,0.4289,8.1596,1.2198,78.01,6.64,A,10435.0,5.4,8.4,9.48,completed
LOT-0042,73.7262,15.005,0.6108,1.5822,1.1763,7.0975,0.8019,65.09,9.79,B,9121.0,5.04,9.63,9.83,completed
LOT-0043,71.3605,20.5174,3.4298,0.1229,0.0,3.8193,0.7501,72.83,6.66,C,11523.0,5.33,7.94,7.21,completed
LOT-0044,73.3514,16.8592,1.8726,0.196,0.0,6.9466,0.7743,70.54,10.98,C,,,,,failed
LOT-0045,71.9025,15.1908,1.7052,1.7751,1.429,7.6499,0.3474,76.4,11.26,A,7065.0,5.3,10.0,10.0,completed
LOT-0046,75.586,15.1086,3.3485,0.3972,0.0,4.2498,1.3099,66.1,5.79,B,11986.0,5.21,9.53,7.88,completed
LOT-0047,66.0424,20.5317,0.0,3.859,2.4865,6.142,0.9384,68.97,9.62,B,12091.0,5.27,10.0,8.25,completed
LOT-0048,73.2684,16.6402,2.5241,0.165,0.0,6.6255,0.7769,77.19,5.28,B,9531.0,5.17,7.63,9.05,completed
LOT-0049,69.6439,20.295,2.6531,0.3002,0.0,6.1844,0.9234,72.04,4.26,A,11335.0,5.13,6.45,8.15,completed
LOT-0050,75.2754,16.7516,0.0,1.5542,1.6657,3.6167,1.1364,71.8,6.94,A,10574.0,5.05,8.47,8.15,completed
LOT-0051,71.5504,17.4406,3.3432,0.0878,0.0,6.8017,0.7762,79.53,8.42,A,9078.0,5.12,8.41,8.74,completed
LOT-0052,70.8261,19.629,1.889,0.1067,0.0,6.3065,1.2426,69.8,11.42,A,,,,,failed
LOT-0053,68.2611,19.5301,2.4038,0.6281,0.0,7.7495,1.4275,65.63,4.31,B,15598.0,5.63,7.1,6.66,completed
LOT-0054,71.599,17.8808,0.0,1.1712,1.0306,7.5385,0.7801,70.88,9.41,A,,,,,failed
LOT-0055,74.3742,17.4014,2.1593,0.3213,0.0,5.2338,0.5099,67.3,7.28,A,8164.0,5.41,9.26,8.14,completed
LOT-0056,68.6143,20.4604,0.562,1.7695,0.2628,7.1088,1.2221,66.23,4.19,A,14098.0,5.18,6.13,6.94,completed
LOT-0057,72.9135,15.5312,2.2079,0.4829,0.0,7.4506,1.4139,73.52,11.75,A,12695.0,5.47,9.67,8.02,completed
LOT-0058,68.4062,19.9217,0.7977,2.0997,0.6264,7.6726,0.4757,79.3,9.26,A,8659.0,5.35,6.54,10.0,completed
LOT-0059,77.5479,13.1969,1.1845,2.6732,0.2538,4.0039,1.1398,73.69,4.16,C,9943.0,5.2,9.81,8.6,completed
LOT-0060,73.1134,16.3415,1.9958,2.8933,1.061,3.3165,1.2784,74.71,11.15,A,12808.0,5.23,10.0,6.41,completed
LOT-0061,71.9107,16.7743,0.0,1.2179,2.2409,6.4933,1.3629,69.85,3.93,A,12503.0,5.6,8.83,7.74,completed
LOT-0062,71.6354,20.1647,3.0861,0.4765,0.0,4.1891,0.4481,73.57,3.83,B,8304.0,5.26,6.52,8.23,completed
LOT-0063,75.4344,15.0702,2.1889,0.6154,0.0,6.2598,0.4314,76.28,5.98,A,5871.0,5.38,9.61,9.41,completed
LOT-0064,67.5544,19.531,1.9367,0.832,0.5006,8.1773,1.468,73.84,11.44,A,14845.0,5.32,8.58,7.24,completed
LOT-0065,71.1853,18.4214,0.5805,2.7268,1.4522,5.1805,0.4533,77.04,3.3,C,7168.0,5.35,8.63,9.18,completed
LOT-0066,70.7379,19.3397,4.3337,0.4003,0.0,4.6492,0.5392,73.26,11.26,C,10280.0,5.28,10.0,8.93,completed
LOT-0067,70.6208,18.0034,1.584,2.3206,0.9037,5.5822,0.9853,67.97,8.5,B,11967.0,5.37,10.0,7.76,completed
LOT-0068,67.0096,20.9775,4.1176,0.3869,0.0,6.6693,0.8391,73.74,3.6,A,12004.0,5.39,7.75,7.42,completed
LOT-0069,77.0396,15.3437,2.4482,0.322,0.0,3.6686,1.1778,72.36,8.12,A,12118.0,5.49,9.19,6.75,completed
LOT-0070,72.5146,17.052,0.5929,2.5942,1.1688,5.5053,0.5722,67.49,7.13,A,8874.0,4.99,10.0,8.35,completed
LOT-0071,76.3839,14.8527,2.783,0.557,0.0,3.9997,1.4237,74.29,8.08,A,14309.0,5.21,9.79,5.78,completed
LOT-0072,74.591,14.1048,1.857,1.5255,0.1322,7.1768,0.6127,77.25,9.63,A,6485.0,5.51,8.32,10.0,completed
LOT-0073,75.171,14.2103,1.8983,0.1147,0.0,7.4174,1.1884,67.03,9.11,A,,,,,failed
LOT-0074,71.2204,19.6756,0.0,2.1013,1.6483,4.9732,0.3812,73.17,11.98,B,8029.0,5.11,7.12,8.16,completed
LOT-0075,69.1327,20.3566,4.1536,0.1816,0.0,5.283,0.8924,76.01,4.41,A,12682.0,5.29,8.25,7.68,completed
LOT-0076,75.7557,13.5456,3.9342,0.4287,0.0,5.9831,0.3526,71.05,10.32,A,6971.0,5.16,10.0,9.71,completed
LOT-0077,74.6963,17.1416,1.8132,1.536,0.005,4.1507,0.6571,69.05,6.7,C,7417.0,5.27,10.0,8.43,completed
LOT-0078,74.9642,16.2937,3.5682,0.1516,0.0,4.3602,0.6622,70.58,10.05,A,8132.0,5.63,9.96,8.35,completed
LOT-0079,72.0221,17.533,0.7467,2.6144,1.0771,4.8644,1.1422,73.13,11.03,A,,,,,failed
LOT-0080,71.3844,19.3442,2.2744,0.1798,0.0,5.9207,0.8964,75.3,11.93,A,11764.0,5.21,9.01,8.09,completed
LOT-0081,74.3101,16.7009,4.4464,0.1862,0.0,3.9376,0.4188,73.39,5.39,B,7561.0,5.11,10.0,8.78,completed
LOT-0082,70.1076,18.8758,3.1212,0.0745,0.0,6.4837,1.3372,66.61,7.08,B,14098.0,5.31,8.81,7.69,completed
LOT-0083,71.358,16.3523,0.0,4.0059,0.8256,6.1298,1.3284,77.27,11.49,B,13422.0,5.37,10.0,7.88,completed
LOT-0084,71.4478,18.9567,3.1067,0.0235,0.0,5.0089,1.4564,78.86,11.51,B,15131.0,5.17,8.7,6.81,completed
LOT-0085,74.8291,17.6042,2.9631,0.5235,0.0,3.4913,0.5887,66.52,6.36,A,8644.0,5.13,10.0,9.01,completed
LOT-0086,74.4021,14.3801,0.6689,1.2656,1.2244,7.2758,0.783,68.74,11.46,A,9484.0,5.52,9.61,9.63,completed
LOT-0087,77.5669,14.0797,3.4033,0.2115,0.0,4.119,0.6196,67.61,6.65,B,5849.0,5.36,10.0,7.9,completed
LOT-0088,74.522,17.1329,3.4421,0.3057,0.0,4.1073,0.49,77.74,6.37,C,7754.0,5.24,9.82,8.52,completed
