experiment_id,ingredient_resin,ingredient_crosslinker,ingredient_solvent,ingredient_legacy_plasticizer,ingredient_substitute_a,ingredient_substitute_b,mix_temperature_c,mix_time_min,supplier_family,status,failure_reason,adhesion,viscosity_cp,dry_time_min,gloss
C-045,44.932,15.62,28.88,7.489,2.854,0.225,62.41,20.19,B,completed,,7.94,1611.1,36.26,88.29
C-046,50.233,13.117,22.447,5.102,4.964,4.137,58.65,27.52,A,completed,,9.108,2127.9,38.53,90.13
C-047,49.941,17.34,24.948,2.286,3.041,2.444,65.05,29.31,A,completed,,9.391,1995.5,38.63,92.41
C-048,43.865,17.843,29.421,0.385,6.313,2.173,66.39,41.44,A,completed,,9.392,1668.1,31.81,90.3
C-049,56.119,11.891,21.173,0.37,9.307,1.14,58.96,19.65,A,completed,,9.869,2214.2,40.55,94.75
C-050,54.81,14.511,19.519,6.849,3.849,0.462,54.35,27.27,B,completed,,8.738,2143.2,43.46,93.55
C-051,41.059,15.046,25.712,3.362,7.419,7.402,57.47,36.23,C,completed,,8.897,2080.0,36.19,92.77
C-052,48.735,14.052,22.713,2.276,6.157,6.067,49.17,26.87,A,completed,,8.06,2077.7,40.44,91.05
C-053,43.341,11.774,21.106,4.475,11.386,7.918,51.08,25.05,A,completed,,8.61,2156.2,37.75,92.99
C-054,52.354,12.991,20.475,5.694,5.903,2.583,54.93,29.09,C,completed,,8.881,2152.3,41.79,92.03
C-055,34.644,11.722,30.172,0.906,13.485,9.071,58.95,41.87,A,failed,phase separation,,,,
C-056,53.836,13.988,22.642,0.557,5.958,3.019,52.47,33.78,B,completed,,8.787,2327.8,40.44,93.56
C-057,33.999,11.915,27.433,2.627,12.997,11.029,65.97,20.19,A,completed,,9.264,2072.5,29.22,94.24
C-058,35.789,10.623,31.864,2.965,13.587,5.172,52.51,22.73,A,failed,poor film formation,,,,
C-059,38.336,17.663,24.29,0.59,9.295,9.826,55.29,36.98,C,failed,poor film formation,,,,
C-060,42.368,16.536,19.349,2.978,14.476,4.293,48.09,18.94,B,completed,,8.361,2370.3,38.39,93.87
C-061,47.936,10.713,24.317,0.688,12.791,3.555,60.41,27.03,A,completed,,9.879,2122.0,34.28,96.21
C-062,52.68,14.577,20.228,0.418,8.494,3.603,58.36,28.03,A,completed,,10.197,2301.2,38.6,93.38
C-063,45.982,16.913,18.481,2.861,6.943,8.82,54.18,37.64,B,completed,,9.842,2563.1,39.16,94.47
C-064,49.473,10.142,29.292,2.135,6.758,2.2,51.97,25.3,B,completed,,7.636,1926.5,40.69,91.88
C-065,45.666,16.072,20.687,1.695,13.068,2.812,56.94,24.43,B,completed,,10.069,2395.0,36.83,94.22
C-066,50.867,15.473,18.816,1.309,7.047,6.488,62.19,27.71,B,completed,,9.301,2375.0,38.63,94.47
C-067,41.335,13.103,28.874,1.426,10.562,4.7,54.04,18.52,B,completed,,9.124,1975.0,33.14,93.12
C-068,51.002,10.263,21.991,1.349,13.063,2.332,69.03,25.48,A,completed,,9.043,2193.6,35.4,93.43
C-069,42.949,10.962,29.41,0.337,9.002,7.34,48.55,40.65,B,completed,,7.748,2078.2,35.3,92.2
C-070,34.0,13.798,26.375,0.201,13.771,11.855,50.39,22.85,A,completed,,9.095,2225.8,30.99,93.42
C-071,37.676,13.578,23.62,2.718,11.785,10.623,67.92,29.2,C,failed,phase separation,,,,
C-072,40.474,13.857,25.429,1.673,12.6,5.967,52.19,36.14,B,failed,poor film formation,,,,
